id,order_id,amount,method
1,9,598.13,bank_transfer
2,32,649.83,paypal
3,55,108.97,credit_card
4,4,334.55,credit_card
5,73,323.89,paypal
6,32,990.75,bank_transfer
7,68,548.32,paypal
8,32,105.92,bank_transfer
9,24,272.18,paypal
10,21,436.41,paypal
11,44,75.61,credit_card
12,62,145.35,credit_card
13,35,167.02,credit_card
14,47,297.89,paypal
15,99,643.99,bank_transfer
16,88,545.55,credit_card
17,2,490.96,paypal
18,4,359.52,paypal
19,15,646.81,credit_card
20,38,841.8,credit_card
21,30,480.06,bank_transfer
22,32,878.59,credit_card
23,85,698.62,bank_transfer
24,20,433.14,paypal
25,3,657.7,paypal
26,23,671.43,credit_card
27,59,905.92,paypal
28,33,545.02,credit_card
29,91,998.86,paypal
30,33,331.0,paypal
31,30,349.98,credit_card
32,33,677.57,bank_transfer
33,1,619.29,credit_card
34,53,381.98,credit_card
35,31,225.34,paypal
36,61,321.3,paypal
37,47,114.96,paypal
38,61,128.28,credit_card
39,21,214.83,paypal
40,56,475.66,credit_card
41,8,404.59,credit_card
42,95,630.38,bank_transfer
43,22,111.83,bank_transfer
44,73,379.23,paypal
45,95,357.19,paypal
46,30,787.51,paypal
47,81,94.08,bank_transfer
48,18,142.53,bank_transfer
49,21,532.83,bank_transfer
50,54,699.28,bank_transfer
51,90,775.24,paypal
52,21,478.29,credit_card
53,17,611.42,credit_card
54,53,487.52,paypal
55,70,382.99,bank_transfer
56,50,194.61,bank_transfer
57,69,301.9,credit_card
58,42,636.58,paypal
59,21,905.18,credit_card
60,33,283.03,paypal
61,50,765.69,credit_card
62,12,84.01,bank_transfer
63,18,981.52,paypal
64,29,719.33,bank_transfer
65,52,334.03,credit_card
66,59,910.27,paypal
67,70,975.87,credit_card
68,62,816.82,credit_card
69,39,762.56,paypal
70,53,729.15,credit_card
71,41,976.75,paypal
72,79,969.12,paypal
73,85,326.31,credit_card
74,2,102.98,credit_card
75,92,201.06,bank_transfer
76,40,799.64,bank_transfer
77,70,936.81,credit_card
78,97,606.26,credit_card
79,96,194.32,paypal
80,98,295.1,credit_card
81,37,162.35,credit_card
82,42,113.42,bank_transfer
83,18,811.2,bank_transfer
84,59,816.66,credit_card
85,4,492.17,paypal
86,78,662.45,credit_card
87,48,537.9,bank_transfer
88,58,321.7,paypal
89,93,449.79,paypal
90,91,580.65,credit_card
91,3,422.27,credit_card
92,86,531.14,credit_card
93,100,203.95,credit_card
94,38,540.42,bank_transfer
95,14,908.09,credit_card
96,24,936.95,credit_card
97,26,286.12,bank_transfer
98,69,289.55,credit_card
99,65,578.28,credit_card
100,13,946.86,paypal
101,29,795.66,credit_card
102,88,717.11,bank_transfer
103,88,508.94,bank_transfer
104,86,544.5,credit_card
105,86,59.82,paypal
106,58,199.49,bank_transfer
107,59,977.84,credit_card
108,33,544.86,paypal
109,43,885.02,credit_card
110,46,566.54,credit_card
111,13,823.85,paypal
112,79,405.77,paypal
113,22,259.03,credit_card
114,86,50.69,credit_card
115,96,740.17,credit_card
116,57,450.11,credit_card
117,69,263.22,bank_transfer
118,78,273.72,bank_transfer
119,50,90.86,paypal
120,21,195.66,bank_transfer
121,35,625.8,bank_transfer
122,96,746.91,paypal
123,98,474.29,paypal
124,9,321.36,paypal
125,87,229.51,bank_transfer
126,41,100.5,bank_transfer
127,22,593.16,bank_transfer
128,53,933.95,credit_card
129,60,252.53,paypal
130,13,126.38,bank_transfer
131,98,919.59,bank_transfer
132,38,629.35,bank_transfer
133,78,786.7,credit_card
134,50,593.83,credit_card
135,79,186.89,credit_card
136,11,55.54,credit_card
137,96,779.92,paypal
138,72,959.66,paypal
139,76,274.97,bank_transfer
140,33,417.8,paypal
141,21,701.46,credit_card
142,79,863.13,paypal
143,20,918.65,paypal
144,40,523.24,credit_card
145,81,474.78,bank_transfer
146,29,152.7,credit_card
147,21,150.25,credit_card
148,88,700.71,bank_transfer
149,95,393.05,bank_transfer
150,87,948.91,credit_card
151,66,239.28,paypal
152,97,857.45,bank_transfer
153,77,575.18,credit_card
154,43,740.26,bank_transfer
155,47,753.04,credit_card
156,69,350.37,paypal
157,11,51.66,credit_card
158,96,588.91,paypal
159,28,456.87,bank_transfer
160,31,589.75,paypal
161,32,533.23,bank_transfer
162,30,648.1,paypal
163,40,989.76,paypal
164,79,699.94,credit_card
165,53,147.72,credit_card
166,14,733.72,paypal
167,69,502.65,paypal
168,80,219.28,credit_card
169,26,51.13,paypal
170,48,171.07,bank_transfer
171,95,907.3,credit_card
172,74,622.89,bank_transfer
173,31,309.63,bank_transfer
174,79,524.39,paypal
175,45,870.54,paypal
176,17,147.57,bank_transfer
177,89,817.8,bank_transfer
178,38,484.92,bank_transfer
179,81,999.87,paypal
180,80,943.54,bank_transfer
181,87,293.31,credit_card
182,11,779.98,paypal
183,92,625.35,paypal
184,57,992.03,bank_transfer
185,72,986.64,credit_card
186,85,724.32,credit_card
187,6,669.11,bank_transfer
188,100,345.13,paypal
189,45,37.03,credit_card
190,60,500.16,paypal
191,83,954.8,bank_transfer
192,99,314.75,credit_card
193,14,725.57,paypal
194,89,385.12,paypal
195,57,159.69,bank_transfer
196,97,448.93,bank_transfer
197,50,475.6,paypal
198,36,151.41,bank_transfer
199,77,295.72,paypal
200,74,684.17,paypal
201,82,585.19,bank_transfer
202,79,585.33,bank_transfer
203,8,332.5,bank_transfer
204,8,549.03,paypal
205,9,52.97,credit_card
206,74,861.99,paypal
207,55,789.55,bank_transfer
208,16,415.09,credit_card
209,9,400.65,credit_card
210,98,589.12,bank_transfer
211,53,578.11,paypal
212,23,70.37,bank_transfer
213,8,581.74,paypal
214,72,952.49,credit_card
215,55,62.2,bank_transfer
216,17,879.85,bank_transfer
217,45,914.38,credit_card
218,57,857.22,paypal
219,84,86.63,credit_card
220,49,571.11,bank_transfer
221,93,51.75,credit_card
222,29,479.13,bank_transfer
223,4,626.14,paypal
224,30,91.31,credit_card
225,50,308.45,bank_transfer
226,99,267.47,bank_transfer
227,87,427.68,paypal
228,30,483.86,credit_card
229,64,754.98,paypal
230,2,341.82,bank_transfer
231,82,43.69,credit_card
232,23,486.24,bank_transfer
233,94,942.99,bank_transfer
234,99,926.03,credit_card
235,70,368.01,bank_transfer
236,34,470.2,bank_transfer
237,75,941.55,credit_card
238,30,734.14,bank_transfer
239,32,506.36,bank_transfer
240,83,154.12,paypal
241,83,361.62,bank_transfer
242,16,937.17,bank_transfer
243,21,964.63,paypal
244,57,709.37,bank_transfer
245,86,976.89,paypal
246,48,655.75,paypal
247,57,802.6,credit_card
248,29,200.93,credit_card
249,6,708.73,bank_transfer
250,66,471.86,paypal
251,57,216.38,bank_transfer
252,85,887.81,bank_transfer
253,28,144.51,paypal
254,40,319.59,paypal
255,73,118.13,paypal
256,15,633.18,paypal
257,61,372.23,credit_card
258,80,115.69,credit_card
259,4,762.42,credit_card
260,38,341.4,paypal
261,42,23.21,credit_card
262,45,937.93,bank_transfer
263,44,103.17,credit_card
264,37,881.95,credit_card
265,51,774.81,bank_transfer
266,58,262.05,credit_card
267,46,918.66,bank_transfer
268,39,760.37,bank_transfer
269,76,940.07,bank_transfer
270,20,613.5,paypal
271,3,181.37,credit_card
272,52,406.09,bank_transfer
273,43,991.6,bank_transfer
274,42,77.02,credit_card
275,20,515.79,credit_card
276,23,575.84,paypal
277,91,632.94,bank_transfer
278,58,252.21,credit_card
279,27,308.54,credit_card
280,86,116.35,credit_card
281,70,939.57,credit_card
282,38,380.6,bank_transfer
283,25,423.18,paypal
284,15,924.18,credit_card
285,26,363.57,paypal
286,33,126.2,bank_transfer
287,13,874.28,paypal
288,20,532.45,paypal
289,70,131.98,bank_transfer
290,12,911.57,bank_transfer
291,8,409.3,paypal
292,8,134.05,paypal
293,8,310.38,paypal
294,61,678.39,bank_transfer
295,29,289.52,bank_transfer
296,49,201.44,credit_card
297,25,918.34,paypal
298,79,249.54,bank_transfer
299,16,194.24,bank_transfer
300,30,296.84,paypal
301,74,68.17,bank_transfer
302,32,185.75,credit_card
303,12,119.04,credit_card
304,51,791.96,bank_transfer
305,7,757.02,credit_card
306,98,525.8,credit_card
307,42,649.91,bank_transfer
308,26,525.71,paypal
309,25,310.77,credit_card
310,66,978.97,bank_transfer
311,41,604.51,credit_card
312,66,999.68,credit_card
313,74,203.0,paypal
314,65,638.53,paypal
315,67,685.1,paypal
316,38,809.57,paypal
317,68,297.14,credit_card
318,28,189.68,paypal
319,81,477.15,credit_card
320,33,558.26,bank_transfer
321,85,673.99,bank_transfer
322,5,548.32,paypal
323,6,180.82,paypal
324,69,888.02,paypal
325,74,399.02,bank_transfer
326,32,189.91,credit_card
327,63,394.34,paypal
328,64,618.09,paypal
329,47,394.55,credit_card
330,17,552.61,credit_card
331,7,963.65,credit_card
332,90,571.35,bank_transfer
333,62,650.07,bank_transfer
334,71,100.48,bank_transfer
335,90,648.5,credit_card
336,2,744.97,bank_transfer
337,58,775.48,bank_transfer
338,13,780.52,bank_transfer
339,37,431.39,paypal
340,20,546.21,paypal
341,68,379.94,bank_transfer
342,20,598.23,paypal
343,89,218.38,credit_card
344,88,318.86,credit_card
345,26,185.2,paypal
346,94,222.22,paypal
347,1,398.08,bank_transfer
348,49,414.51,paypal
349,81,837.51,bank_transfer
350,38,727.89,paypal
351,60,812.61,credit_card
352,3,544.29,bank_transfer
353,73,288.87,bank_transfer
354,33,326.05,bank_transfer
355,6,330.06,paypal
356,66,578.0,bank_transfer
357,34,720.57,paypal
358,53,852.0,bank_transfer
359,61,917.78,paypal
360,82,321.57,paypal
361,50,346.6,paypal
362,53,852.99,credit_card
363,36,908.27,paypal
364,18,29.51,bank_transfer
365,64,176.24,paypal
366,85,413.69,paypal
367,43,272.61,bank_transfer
368,22,201.05,credit_card
369,98,151.67,bank_transfer
370,78,511.37,bank_transfer
