id,name,price,category_id
1,With,315.06,4
2,Which,721.32,5
3,Line,407.41,9
4,Question,719.86,3
5,Table,673.11,1
6,Middle,246.55,5
7,Head,238.76,2
8,Return,443.04,5
9,Since,784.36,9
10,Consider,494.72,1
11,Film,196.46,5
12,Environmental,344.83,3
13,Not,167.49,4
14,Off,398.96,4
15,Wear,496.34,1
16,Region,240.01,8
17,Car,66.08,3
18,Thousand,155.46,3
19,Keep,561.65,1
20,Onto,54.87,10
21,Center,814.48,3
22,Character,474.9,2
23,Some,183.1,1
24,Management,641.03,5
25,Him,795.26,5
26,Reflect,908.35,9
27,Visit,420.25,3
28,End,102.61,5
29,Room,186.73,3
30,Than,908.38,5
31,Join,127.28,10
32,Third,456.49,8
33,Provide,812.86,8
34,Successful,70.89,9
35,Camera,359.47,10
36,Hit,166.16,4
37,Worker,307.24,3
38,Picture,932.88,6
39,Event,880.42,4
40,Direction,421.68,1
41,Probably,644.96,1
42,Paper,133.62,5
43,Against,510.39,8
44,International,823.77,6
45,Learn,703.4,4
46,Garden,631.75,4
47,Black,143.37,3
48,Move,317.15,6
49,Appear,52.88,7
50,Sign,375.94,2
51,State,317.58,5
52,Camera,186.61,10
53,West,918.36,3
54,Dinner,770.26,7
55,Service,392.58,3
56,Enter,103.61,2
57,Figure,986.25,7
58,Shoulder,238.87,8
59,Finally,582.76,3
60,Person,266.47,2
61,Assume,316.1,6
62,Every,81.53,6
63,Affect,396.62,3
64,Message,124.83,1
65,Energy,235.06,3
66,Answer,559.03,2
67,Condition,491.93,3
68,Particularly,659.46,9
69,Yet,51.89,2
70,Challenge,614.63,8
71,Yeah,417.01,9
72,Positive,424.21,1
73,Agency,777.31,5
74,Style,636.23,3
75,Law,127.42,1
76,Notice,104.46,1
77,Run,216.97,6
78,Different,942.98,1
79,Single,536.31,2
80,Long,308.2,4
81,Read,159.09,3
82,Would,603.58,10
83,Sit,70.83,7
84,Scene,569.73,1
85,College,646.17,8
86,Series,204.9,9
87,Too,23.96,8
88,Dinner,206.17,1
89,Sound,285.61,2
90,Option,991.3,3
91,Couple,72.98,5
92,After,815.67,7
93,Difference,490.08,5
94,Election,298.79,8
95,Expect,417.08,4
96,Manage,19.02,2
97,Another,59.32,10
98,Somebody,284.26,8
99,Sing,242.78,10
100,Food,169.23,8
101,Give,910.44,8
102,Want,929.74,9
103,Soldier,682.94,2
104,Speak,779.92,5
105,Although,68.73,2
106,Paper,226.55,2
107,Onto,689.16,10
108,Sometimes,480.23,1
109,Method,327.23,1
110,Board,659.61,8
111,Although,626.75,3
112,Early,148.72,10
113,Century,183.75,8
114,Feel,708.66,6
115,News,944.19,5
116,Stand,242.67,9
117,Adult,647.81,7
118,Practice,167.86,2
119,Than,140.11,9
120,Reach,593.91,10
121,Him,684.46,1
122,Country,59.33,4
123,Position,146.99,9
124,Fly,232.62,5
125,Degree,544.95,6
126,Positive,886.76,3
127,Two,665.43,10
128,And,959.87,1
129,Significant,812.0,10
130,Ball,243.85,5
131,Once,426.58,10
132,Her,930.9,5
133,Everything,833.56,10
134,Heart,154.81,10
135,Attack,822.27,1
136,Professor,919.93,5
137,Project,400.97,5
138,Trouble,800.06,10
139,Push,970.42,9
140,Check,570.65,5
141,Act,591.55,2
142,Ground,57.57,10
143,Same,351.75,4
144,Director,577.69,8
145,Others,963.93,5
146,Store,905.43,9
147,General,530.55,8
148,Capital,696.35,7
149,Well,957.78,4
150,Whatever,953.97,7
151,Even,991.7,6
152,Respond,115.53,9
153,Piece,765.5,2
154,These,204.4,1
155,Item,703.15,7
156,Size,548.54,10
157,Organization,587.42,7
158,Drop,493.9,6
159,Rule,720.71,10
160,Hot,339.77,7
161,Phone,317.89,10
162,Career,861.86,3
163,Authority,93.77,5
164,People,422.94,1
165,Purpose,27.26,7
166,Address,319.02,10
167,Short,870.84,9
168,Road,652.64,7
169,Fire,249.3,10
170,Third,142.08,9
171,Foreign,458.85,5
172,Land,690.7,6
173,Natural,23.73,8
174,Name,588.98,10
175,Staff,781.19,2
176,Bed,815.09,7
177,Among,278.61,6
178,Although,111.88,9
179,Out,899.14,5
