id,user_id,product_id,quantity,order_date
1,90,20,2,2025-06-15
2,79,3,3,2025-06-20
3,30,61,1,2025-06-04
4,95,15,4,2025-06-11
5,10,21,1,2025-05-28
6,8,20,5,2025-06-01
7,70,49,3,2025-05-29
8,16,44,3,2025-05-27
9,19,48,5,2025-06-02
10,9,8,2,2025-06-17
11,14,87,4,2025-05-26
12,80,15,3,2025-06-22
13,88,24,1,2025-06-06
14,97,91,5,2025-06-16
15,47,42,3,2025-06-22
16,86,12,2,2025-05-31
17,92,5,4,2025-06-06
18,23,86,4,2025-06-10
19,91,91,5,2025-06-13
20,32,71,1,2025-06-03
21,16,71,1,2025-06-01
22,9,7,1,2025-06-21
23,88,39,3,2025-06-12
24,49,87,3,2025-06-17
25,6,82,5,2025-06-03
26,73,51,1,2025-05-25
27,70,81,4,2025-05-27
28,94,57,3,2025-06-20
29,17,93,2,2025-06-07
30,83,58,3,2025-06-21
31,69,39,3,2025-05-31
32,34,31,4,2025-06-07
33,91,49,1,2025-06-10
34,3,85,2,2025-06-15
35,67,36,4,2025-06-11
36,12,71,3,2025-06-06
37,26,15,3,2025-06-03
38,60,78,1,2025-06-16
39,81,74,3,2025-06-06
40,37,97,2,2025-06-10
41,20,92,5,2025-06-04
42,4,30,4,2025-06-19
43,70,90,1,2025-06-12
44,2,54,4,2025-06-03
45,6,42,2,2025-05-25
46,79,77,4,2025-05-26
47,49,43,5,2025-06-07
48,59,32,2,2025-06-11
49,46,61,2,2025-06-23
50,47,96,4,2025-06-12
51,36,6,4,2025-06-20
52,86,77,3,2025-06-13
53,28,22,4,2025-05-26
54,45,75,1,2025-06-16
55,27,32,2,2025-06-14
56,92,13,4,2025-06-14
57,39,96,5,2025-06-04
58,48,12,5,2025-06-06
59,44,49,3,2025-06-04
60,51,14,2,2025-06-01
61,17,77,4,2025-06-21
62,7,26,5,2025-06-10
63,60,100,5,2025-06-13
64,52,66,1,2025-06-05
65,43,3,2,2025-06-10
66,83,18,5,2025-06-17
67,39,67,2,2025-06-10
68,78,69,5,2025-06-13
69,20,33,2,2025-06-23
70,30,86,3,2025-06-09
71,23,59,1,2025-06-16
72,77,55,4,2025-06-22
73,56,10,1,2025-05-29
74,28,33,1,2025-06-07
75,85,93,2,2025-06-17
76,25,39,3,2025-06-22
77,70,54,1,2025-06-19
78,69,78,3,2025-05-25
79,99,7,1,2025-06-09
80,49,86,2,2025-05-31
81,81,65,1,2025-06-06
82,37,81,5,2025-06-12
83,93,62,4,2025-06-13
84,39,36,1,2025-06-04
85,2,45,5,2025-06-03
86,73,44,4,2025-06-14
87,80,78,5,2025-06-12
88,39,67,2,2025-06-13
89,64,13,5,2025-06-21
90,36,38,2,2025-06-04
91,8,48,4,2025-06-21
92,54,41,3,2025-06-12
93,4,43,1,2025-05-25
94,87,80,5,2025-06-10
95,80,47,2,2025-06-02
96,57,26,1,2025-06-07
97,79,29,1,2025-05-28
98,53,91,2,2025-06-02
99,30,13,4,2025-06-20
100,94,68,5,2025-06-01
101,72,71,4,2025-06-04
102,25,79,2,2025-06-14
103,50,37,5,2025-06-20
104,63,59,1,2025-06-23
105,64,33,3,2025-06-20
106,90,89,1,2025-05-25
107,54,51,4,2025-06-09
108,74,40,1,2025-06-16
109,31,1,5,2025-05-31
110,30,49,3,2025-06-19
111,97,55,1,2025-06-17
112,10,6,2,2025-05-29
113,19,2,2,2025-06-16
114,63,70,3,2025-06-02
115,27,48,1,2025-06-06
116,92,35,5,2025-05-28
117,94,20,1,2025-06-09
118,61,97,2,2025-06-22
119,34,40,3,2025-06-22
120,24,54,4,2025-06-09
121,40,6,5,2025-06-05
122,36,61,2,2025-06-16
123,27,92,4,2025-06-05
124,38,49,4,2025-05-30
125,4,35,2,2025-06-18
126,33,35,3,2025-06-14
127,43,54,5,2025-06-01
128,87,13,3,2025-06-04
129,14,4,5,2025-06-18
130,22,63,4,2025-05-27
131,13,12,1,2025-06-06
132,66,88,3,2025-06-16
133,43,9,2,2025-06-14
134,46,96,1,2025-05-31
135,48,17,3,2025-06-16
136,17,24,1,2025-06-16
137,72,63,4,2025-05-31
138,17,31,1,2025-06-01
139,35,52,4,2025-06-11
140,26,54,3,2025-06-20
141,7,63,3,2025-05-25
142,97,75,5,2025-06-10
143,89,39,5,2025-06-15
144,33,100,5,2025-06-10
145,29,45,2,2025-05-30
146,16,70,4,2025-06-18
147,63,80,2,2025-06-19
148,44,78,4,2025-06-12
149,49,62,1,2025-06-22
150,50,59,5,2025-06-19
151,20,67,4,2025-06-06
152,28,4,3,2025-06-12
153,64,40,2,2025-05-25
154,70,47,5,2025-05-25
155,22,43,5,2025-05-29
156,25,39,2,2025-05-29
157,44,48,4,2025-06-18
158,18,34,2,2025-05-26
159,85,89,1,2025-06-22
160,35,78,1,2025-05-25
161,13,74,5,2025-06-11
162,87,37,3,2025-06-13
163,58,89,4,2025-05-27
164,28,91,1,2025-06-23
165,56,13,1,2025-06-11
166,57,51,5,2025-06-12
167,57,30,3,2025-06-03
168,15,10,1,2025-05-31
169,19,3,5,2025-06-02
170,31,1,5,2025-06-03
171,70,41,1,2025-06-08
172,91,94,1,2025-05-28
173,18,72,1,2025-06-16
174,4,21,4,2025-06-16
175,15,22,2,2025-06-19
176,40,60,5,2025-05-30
177,42,8,5,2025-06-10
178,23,91,1,2025-06-10
179,100,87,2,2025-06-21
180,74,37,5,2025-05-31
181,12,72,2,2025-05-30
182,78,81,1,2025-05-30
183,70,81,1,2025-05-27
184,80,98,4,2025-06-20
185,52,14,5,2025-06-17
186,39,50,1,2025-06-11
187,35,82,3,2025-05-28
188,11,60,4,2025-06-05
189,75,29,4,2025-05-27
190,65,73,2,2025-06-06
191,21,67,3,2025-05-28
192,20,25,4,2025-06-04
193,8,73,5,2025-06-14
194,80,12,1,2025-06-21
195,8,76,2,2025-06-13
196,73,62,4,2025-06-10
197,28,74,4,2025-05-26
198,22,20,5,2025-05-26
199,1,32,3,2025-06-04
200,19,98,1,2025-06-04
201,96,17,2,2025-06-04
202,71,93,2,2025-06-07
203,17,22,4,2025-06-11
204,90,57,1,2025-05-26
205,3,50,1,2025-05-26
206,96,37,3,2025-05-27
207,55,12,2,2025-06-19
208,6,97,5,2025-06-15
209,8,15,3,2025-05-25
210,26,51,5,2025-06-05
211,65,70,2,2025-06-11
212,60,4,3,2025-06-22
213,69,15,5,2025-06-15
214,99,27,5,2025-06-07
215,13,96,3,2025-06-14
216,21,77,3,2025-06-08
217,96,5,1,2025-06-21
218,4,34,1,2025-06-17
219,31,53,5,2025-06-03
220,76,9,2,2025-06-18
221,59,55,4,2025-06-01
222,27,3,2,2025-06-17
223,61,9,2,2025-06-22
224,92,43,4,2025-06-03
225,94,24,1,2025-05-25
226,91,11,4,2025-06-18
227,14,15,4,2025-06-21
228,81,72,4,2025-06-08
