id,name,price,category_id
1,By,686.05,3
2,True,57.56,8
3,Stand,435.94,1
4,Type,930.97,1
5,Official,929.78,5
6,Well,636.05,10
7,Tonight,487.54,2
8,Activity,545.55,5
9,Reduce,959.26,7
10,Defense,182.17,3
11,Bar,485.82,3
12,Well,780.51,5
13,From,335.58,6
14,Think,127.03,1
15,Chance,165.03,6
16,Myself,180.59,4
17,Nor,846.82,3
18,Make,795.11,10
19,Election,63.64,2
20,Consumer,688.15,6
21,However,766.91,9
22,Government,13.65,7
23,Top,166.61,2
24,Word,356.79,9
25,Far,11.47,9
26,Down,319.49,1
27,Deep,487.02,2
28,Those,276.91,9
29,Above,422.83,10
30,Leader,94.31,1
31,Her,310.97,5
32,Figure,112.37,3
33,Determine,566.63,1
34,Prevent,761.19,3
35,At,642.09,4
36,Career,277.28,7
37,Continue,849.03,2
38,Drive,701.17,10
39,Myself,522.93,2
40,More,443.69,4
41,Listen,751.71,6
42,Open,514.67,3
43,Computer,548.09,8
44,Tonight,844.79,9
45,People,683.12,9
46,According,829.1,3
47,Artist,693.79,10
48,Serve,686.89,8
49,Hear,144.43,8
50,Result,336.32,6
51,Evidence,541.95,4
52,Soldier,467.16,4
53,Great,626.62,2
54,Author,964.59,6
55,Figure,676.8,5
56,Blue,20.31,2
57,Home,560.75,4
58,Look,633.81,4
59,Mrs,558.33,4
60,Help,276.61,9
61,Onto,808.4,2
62,Which,602.61,10
63,Country,401.48,3
64,War,165.78,5
65,Manage,32.17,6
66,Drive,687.24,5
67,Million,466.78,7
68,Not,540.59,9
69,Thus,79.07,5
70,Rise,563.93,3
71,Walk,47.97,10
72,Possible,787.38,5
73,Section,246.51,2
74,Natural,212.67,10
75,Any,262.83,3
76,Prove,968.44,3
77,Power,704.31,3
78,Whom,108.29,6
79,Sit,483.99,1
80,Economic,428.77,5
81,Office,673.11,4
82,Structure,529.78,9
83,Debate,171.79,6
84,Wind,961.02,4
85,Until,897.77,7
86,Suggest,816.58,7
87,Wonder,468.81,6
88,Plan,935.84,5
89,Simply,265.63,4
90,Red,389.61,3
91,Machine,474.62,5
92,Coach,480.76,4
93,Market,113.31,4
94,By,814.95,10
95,Car,115.38,4
96,Result,765.76,3
97,Movement,324.27,5
98,Gun,904.26,1
99,Career,477.41,8
100,Store,605.07,7
101,Deal,528.2,7
102,Six,293.43,10
103,Rate,242.77,4
104,Soldier,736.15,5
105,Board,580.5,9
106,Away,46.49,4
107,Return,318.27,7
108,Issue,446.72,9
109,Hard,798.11,8
110,Support,29.48,6
111,Office,262.78,10
112,Guy,561.32,3
113,Mission,116.4,10
114,Operation,387.83,7
115,Summer,624.14,7
116,Bit,70.07,6
117,Everyone,944.32,9
118,Already,625.67,8
119,Likely,718.92,1
120,Effect,90.31,3
121,Activity,748.63,2
122,Down,751.42,7
123,Top,314.53,5
124,Challenge,457.35,4
125,Peace,243.59,4
126,Political,541.39,1
127,Middle,132.92,7
128,List,751.78,7
129,Southern,633.66,2
130,Might,836.49,9
131,Camera,879.38,9
132,Send,30.34,9
133,Security,900.41,1
134,Space,533.62,5
135,Good,24.79,1
136,Sport,374.19,1
137,Six,463.6,7
138,Break,735.74,2
139,Eye,160.05,2
140,Than,729.68,8
141,Could,809.87,8
142,Food,404.77,4
143,Natural,485.96,8
144,Interview,689.24,3
145,Meeting,448.21,7
146,Toward,638.77,6
147,Voice,474.02,2
148,Discuss,579.74,5
149,Boy,174.66,2
150,Growth,403.42,2
151,Sell,655.09,5
152,Risk,397.39,7
153,Sister,788.63,9
154,Enough,83.1,10
155,Imagine,66.07,6
156,Oil,982.37,1
157,Table,156.91,10
158,Catch,164.37,6
159,Once,292.71,6
160,Very,295.7,2
161,Down,62.77,3
162,Activity,652.7,6
163,Past,312.53,7
164,Tough,949.68,5
165,Media,113.42,1
166,Late,336.74,2
167,New,305.11,7
168,Chance,679.82,4
169,Author,441.93,2
170,Help,593.07,10
171,Movement,464.66,7
172,Economy,742.46,2
173,Information,755.55,7
174,Deal,400.63,2
175,Most,876.84,9
176,Place,530.69,9
177,Herself,963.87,7
178,Amount,257.98,6
179,Senior,493.28,2
180,Event,35.47,9
181,Couple,121.4,7
182,Seek,561.87,9
183,Standard,950.0,2
184,Final,267.98,7
185,Much,752.19,5
186,Will,689.17,6
187,Expert,894.48,5
188,Chance,324.38,7
189,Material,550.21,3
190,Energy,858.13,8
191,Explain,365.17,3
192,Crime,390.69,10
193,Shake,485.68,6
194,Happen,614.07,1
195,About,387.24,3
196,Wind,272.24,2
197,Follow,692.63,5
198,Determine,939.89,3
199,Citizen,953.81,1
200,Return,564.85,4
