id,user_id,product_id,quantity,order_date
1,29,99,5,2025-05-31
2,40,50,4,2025-06-01
3,6,57,5,2025-06-01
4,75,18,1,2025-06-14
5,98,90,3,2025-06-23
6,34,37,3,2025-06-14
7,65,7,2,2025-06-09
8,44,8,5,2025-06-06
9,99,16,5,2025-06-07
10,54,28,1,2025-05-30
11,20,47,5,2025-06-13
12,34,11,4,2025-06-05
13,94,74,2,2025-05-27
14,33,78,1,2025-06-09
15,33,5,2,2025-05-28
16,93,10,2,2025-06-09
17,60,66,4,2025-05-30
18,43,22,3,2025-06-22
19,88,79,4,2025-05-29
20,61,76,2,2025-06-19
21,28,21,5,2025-06-05
22,70,19,5,2025-06-07
23,52,42,3,2025-06-11
24,52,98,3,2025-06-22
25,43,67,3,2025-05-30
26,19,94,2,2025-05-27
27,61,51,3,2025-06-19
28,21,70,2,2025-05-31
29,14,56,1,2025-06-17
30,35,90,2,2025-05-28
31,100,88,3,2025-06-05
32,81,70,2,2025-06-18
33,68,21,5,2025-06-04
34,46,78,3,2025-06-15
35,46,72,4,2025-06-17
36,94,63,3,2025-05-29
37,48,5,2,2025-06-23
38,97,29,5,2025-05-29
39,97,33,1,2025-05-28
40,68,51,3,2025-06-16
41,67,63,2,2025-06-04
42,7,52,4,2025-06-20
43,74,73,4,2025-06-08
44,10,77,5,2025-06-21
45,63,86,5,2025-06-07
46,76,15,4,2025-05-28
47,76,33,5,2025-05-28
48,38,46,1,2025-05-28
49,6,75,5,2025-06-12
50,47,8,5,2025-06-17
51,24,26,1,2025-05-29
52,28,45,3,2025-06-08
53,37,73,2,2025-06-08
54,66,73,2,2025-06-11
55,93,84,3,2025-06-13
56,53,9,5,2025-06-20
57,26,17,1,2025-05-28
58,13,3,1,2025-06-03
59,96,56,1,2025-05-26
60,81,85,4,2025-06-05
61,50,99,1,2025-06-21
62,58,75,2,2025-06-08
63,79,3,1,2025-06-19
64,39,31,3,2025-06-09
65,7,51,1,2025-06-22
66,69,24,1,2025-06-05
67,2,27,1,2025-05-31
68,100,70,2,2025-06-13
69,59,95,5,2025-06-08
70,58,75,5,2025-05-25
71,88,84,4,2025-06-11
72,95,75,5,2025-06-02
73,46,2,3,2025-06-06
74,89,36,3,2025-06-17
75,35,83,1,2025-06-01
76,75,62,5,2025-06-09
77,68,38,3,2025-05-29
